timeStamp;roomX;roomZ;roomAngle;agentId;agentX;agentZ;agentLookX;agentLookZ;targetId;targetName;distanceToTarget
3.027021;0;0;0.06736971;13;-1.255647;-1.662056;-0.7456187;-0.6663726;3;Forest;19.13598
3.027021;0;0;0.06736971;14;-2.729506;0.4085917;-0.6103798;0.7921087;2;Violet;18.94731
3.055977;0;0;0.06736971;0;-2.263179;2.66643;-0.6975727;0.7165138;2;Violet;17.76214
3.055977;0;0;0.06736971;1;2.387718;2.874977;0.6696796;0.74265;7;Brick;17.47742
3.055977;0;0;0.06736971;2;1.384039;-2.958212;0.7790837;-0.6269197;6;GoldenRod;18.27221
3.055977;0;0;0.06736971;3;0.1640654;4.660216;0.7827821;0.6222955;7;Brick;17.83996
3.055977;0;0;0.06736971;4;-1.481889;-1.423788;-0.7326983;-0.6805533;3;Forest;19.16685
3.055977;0;0;0.06736971;5;3.139219;-1.70899;0.6812873;-0.7320159;6;GoldenRod;17.74178
3.055977;0;0;0.06736971;6;-1.882931;4.764616;-0.7645102;0.6446114;2;Violet;16.82536
3.055977;0;0;0.06736971;7;1.263721;0.4718962;0.6479297;0.7617001;7;Brick;20.03668
3.055977;0;0;0.06736971;8;-0.38868;-4.084033;-0.8271076;-0.5620434;3;Forest;18.04136
3.055977;0;0;0.06736971;9;-3.698272;-1.97986;-0.6861938;-0.7274185;3;Forest;17.35252
3.055977;0;0;0.06736971;10;-2.763169;0.3143911;-0.6110052;0.7916263;2;Violet;18.99135
3.055977;0;0;0.06736971;11;-1.750091;-2.529454;-0.7245702;-0.6892007;3;Forest;18.16018
3.055977;0;0;0.06736971;12;-3.878414;-2.372476;-0.6917572;-0.7221298;3;Forest;16.92959
3.055977;0;0;0.06736971;13;-1.255647;-1.662056;-0.6996435;-0.714492;3;Forest;19.13598
3.055977;0;0;0.06736971;14;-2.729506;0.4085917;-0.6085436;0.7935203;2;Violet;18.94731
3.087843;0;0;0.06736971;0;-2.263179;2.66643;-0.6989275;0.7151924;2;Violet;17.76214
3.087843;0;0;0.06736971;1;2.387718;2.874977;0.7161028;0.6979946;7;Brick;17.47742
3.087843;0;0;0.06736971;2;1.384039;-2.958212;0.7760869;-0.6306257;6;GoldenRod;18.27221
3.087843;0;0;0.06736971;3;0.1640654;4.660216;0.7943121;0.6075096;7;Brick;17.83996
3.087843;0;0;0.06736971;4;-1.481889;-1.423788;-0.6987091;-0.7154056;3;Forest;19.16685
3.087843;0;0;0.06736971;5;3.139219;-1.70899;0.6886366;-0.7251064;6;GoldenRod;17.74178
3.087843;0;0;0.06736971;6;-1.882931;4.764616;-0.8094255;0.5872222;2;Violet;16.82536
3.087843;0;0;0.06736971;7;1.263721;0.4718962;0.6855785;0.7279986;7;Brick;20.03668
3.087843;0;0;0.06736971;8;-0.38868;-4.084033;-0.7782015;-0.6280143;3;Forest;18.04136
3.087843;0;0;0.06736971;9;-3.698272;-1.97986;-0.6869721;-0.7266836;3;Forest;17.35252
3.087843;0;0;0.06736971;10;-2.763169;0.3143911;-0.6076342;0.7942169;2;Violet;18.99135
3.087843;0;0;0.06736971;11;-1.750091;-2.529454;-0.7575405;-0.652788;3;Forest;18.16018
3.087843;0;0;0.06736971;12;-3.878414;-2.372476;-0.6140528;-0.7892646;3;Forest;16.92959
3.087843;0;0;0.06736971;13;-1.255647;-1.662056;-0.7273989;-0.6862146;3;Forest;19.13598
3.087843;0;0;0.06736971;14;-2.729506;0.4085917;-0.608992;0.7931762;2;Violet;18.94731
3.111935;0;0;0.06736971;0;-2.263179;2.66643;-0.7464383;0.6654544;2;Violet;17.76214
3.111935;0;0;0.06736971;1;2.387718;2.874977;0.6697037;0.7426282;7;Brick;17.47742
3.111935;0;0;0.06736971;2;1.384039;-2.958212;0.7871587;-0.6167503;6;GoldenRod;18.27221
3.111935;0;0;0.06736971;3;0.1640654;4.660216;0.7877024;0.6160557;7;Brick;17.83996
3.111935;0;0;0.06736971;4;-1.481889;-1.423788;-0.7343237;-0.6787992;3;Forest;19.16685
3.111935;0;0;0.06736971;5;3.139219;-1.70899;0.7090299;-0.7051782;6;GoldenRod;17.74178
3.111935;0;0;0.06736971;6;-1.882931;4.764616;-0.7828026;0.6222698;2;Violet;16.82536
3.111935;0;0;0.06736971;7;1.263721;0.4718962;0.6508194;0.7592325;7;Brick;20.03668
3.111935;0;0;0.06736971;8;-0.38868;-4.084033;-0.8259386;-0.5637597;3;Forest;18.04136
3.111935;0;0;0.06736971;9;-3.698272;-1.97986;-0.6859723;-0.7276273;3;Forest;17.35252
3.111935;0;0;0.06736971;10;-2.763169;0.3143911;-0.6338959;0.7734182;2;Violet;18.99135
3.111935;0;0;0.06736971;11;-1.750091;-2.529454;-0.7209583;-0.6929782;3;Forest;18.16018
3.111935;0;0;0.06736971;12;-3.878414;-2.372476;-0.6348251;-0.7726557;3;Forest;16.92959
3.111935;0;0;0.06736971;13;-1.255647;-1.662056;-0.7167122;-0.6973687;3;Forest;19.13598
3.111935;0;0;0.06736971;14;-2.729506;0.4085917;-0.6092337;0.7929906;2;Violet;18.94731
3.136988;0;0;0.06736971;0;-2.263179;2.66643;-0.6988416;0.7152762;2;Violet;17.76214
3.136988;0;0;0.06736971;1;2.387718;2.874977;0.683815;0.7296553;7;Brick;17.47742
3.136988;0;0;0.06736971;2;1.384039;-2.958212;0.7887943;-0.614657;6;GoldenRod;18.27221
3.136988;0;0;0.06736971;3;0.1640654;4.660216;0.7823607;0.6228253;7;Brick;17.83996
3.136988;0;0;0.06736971;4;-1.481889;-1.423788;-0.7034701;-0.7107247;3;Forest;19.16685
3.136988;0;0;0.06736971;5;3.139219;-1.70899;0.6900313;-0.7237792;6;GoldenRod;17.74178
3.136988;0;0;0.06736971;6;-1.882931;4.764616;-0.79592;0.6054017;2;Violet;16.82536
3.136988;0;0;0.06736971;7;1.263721;0.4718962;0.6915749;0.7223046;7;Brick;20.03668
3.136988;0;0;0.06736971;8;-0.38868;-4.084033;-0.7848537;-0.6196808;3;Forest;18.04136
3.136988;0;0;0.06736971;9;-3.698272;-1.97986;-0.6869234;-0.7267295;3;Forest;17.35252
3.136988;0;0;0.06736971;10;-2.763169;0.3143911;-0.6307108;0.7760178;2;Violet;18.99135
3.136988;0;0;0.06736971;11;-1.750091;-2.529454;-0.7541389;-0.6567146;3;Forest;18.16018
3.136988;0;0;0.06736971;12;-3.878414;-2.372476;-0.6354273;-0.7721605;3;Forest;16.92959
3.136988;0;0;0.06736971;13;-1.255647;-1.662056;-0.7433288;-0.6689261;3;Forest;19.13598
3.136988;0;0;0.06736971;14;-2.729506;0.4085917;-0.6169486;0.7870033;2;Violet;18.94731
3.157832;0;0;0.06736971;0;-2.263179;2.66643;-0.7346867;0.6784064;2;Violet;17.76214
3.157832;0;0;0.06736971;1;2.387718;2.874977;0.6694812;0.7428288;7;Brick;17.47742
3.157832;0;0;0.06736971;2;1.384039;-2.958212;0.7872686;-0.61661;6;GoldenRod;18.27221
3.157832;0;0;0.06736971;3;0.1640654;4.660216;0.8022988;0.5969225;7;Brick;17.83996
3.157832;0;0;0.06736971;4;-1.481889;-1.423788;-0.6763567;-0.736574;3;Forest;19.16685
3.157832;0;0;0.06736971;5;3.139219;-1.70899;0.6979391;-0.7161568;6;GoldenRod;17.74178
3.157832;0;0;0.06736971;6;-1.882931;4.764616;-0.7643652;0.6447833;2;Violet;16.82536
3.157832;0;0;0.06736971;7;1.263721;0.4718962;0.651435;0.7587043;7;Brick;20.03668
3.157832;0;0;0.06736971;8;-0.38868;-4.084033;-0.815661;-0.57853;3;Forest;18.04136
3.157832;0;0;0.06736971;9;-3.698272;-1.97986;-0.6844004;-0.7291061;3;Forest;17.35252
3.157832;0;0;0.06736971;10;-2.763169;0.3143911;-0.6100113;0.7923926;2;Violet;18.99135
3.157832;0;0;0.06736971;11;-1.750091;-2.529454;-0.7511106;-0.6601763;3;Forest;18.16018
3.157832;0;0;0.06736971;12;-3.878414;-2.372476;-0.6586794;-0.7524234;3;Forest;16.92959
3.157832;0;0;0.06736971;13;-1.255647;-1.662056;-0.7440494;-0.6681245;3;Forest;19.13598
3.157832;0;0;0.06736971;14;-2.729506;0.4085917;-0.6167292;0.7871752;2;Violet;18.94731
3.180825;0;0;0.06736971;0;-2.263179;2.66643;-0.6941094;0.7198692;2;Violet;17.76214
3.180825;0;0;0.06736971;1;2.387718;2.874977;0.7190423;0.6949661;7;Brick;17.47742
3.180825;0;0;0.06736971;2;1.384039;-2.958212;0.786981;-0.616977;6;GoldenRod;18.27221
3.180825;0;0;0.06736971;3;0.1640654;4.660216;0.7825651;0.6225686;7;Brick;17.83996
3.180825;0;0;0.06736971;4;-1.481889;-1.423788;-0.7366737;-0.6762481;3;Forest;19.16685
3.180825;0;0;0.06736971;5;3.139219;-1.70899;0.6966589;-0.7174022;6;GoldenRod;17.74178
3.180825;0;0;0.06736971;6;-1.882931;4.764616;-0.7618116;0.6477983;2;Violet;16.82536
3.180825;0;0;0.06736971;7;1.263721;0.4718962;0.6754006;0.737451;7;Brick;20.03668
3.180825;0;0;0.06736971;8;-0.38868;-4.084033;-0.7952804;-0.6062414;3;Forest;18.04136
3.180825;0;0;0.06736971;9;-3.698272;-1.97986;-0.6771722;-0.7358243;3;Forest;17.35252
3.180825;0;0;0.06736971;10;-2.763169;0.3143911;-0.6203805;0.7843008;2;Violet;18.99135
3.180825;0;0;0.06736971;11;-1.750091;-2.529454;-0.7278582;-0.6857275;3;Forest;18.16018
3.180825;0;0;0.06736971;12;-3.878414;-2.372476;-0.674853;-0.7379519;3;Forest;16.92959
3.180825;0;0;0.06736971;13;-1.255647;-1.662056;-0.7469293;-0.6649033;3;Forest;19.13598
3.180825;0;0;0.06736971;14;-2.729506;0.4085917;-0.6691103;0.7431629;2;Violet;18.94731
3.204531;0;0;0.06736971;0;-2.263179;2.66643;-0.6879582;0.7257501;2;Violet;17.76214
3.204531;0;0;0.06736971;1;2.387718;2.874977;0.7368192;0.6760895;7;Brick;17.47742
3.204531;0;0;0.06736971;2;1.384039;-2.958212;0.7572765;-0.6530941;6;GoldenRod;18.27221
