timeStamp;roomX;roomZ;roomAngle;targetId;targetName;targetX;targetZ;targetAngle;distanceToTarget;targetAttentionCount
2.195866;0;0;6.21139;6;GoldenRod;13.86429;-16.08669;5.423722;21.23676;2
2.195866;0;0;6.21139;7;Brick;16.08668;13.86429;6.994518;21.23676;1
2.21979;0;0;6.216674;0;Greystone;2.153185;29.93934;7.782187;30.01666;0
2.21979;0;0;6.216674;1;TerraCotta;29.93934;-2.15319;6.21139;30.01666;0
2.21979;0;0;6.216674;2;Violet;-13.90078;16.05516;8.567585;21.23676;4
2.21979;0;0;6.216674;3;Forest;-16.05516;-13.90078;3.855196;21.23676;4
2.21979;0;0;6.216674;4;Lake;-29.93934;2.15318;9.352983;30.01666;0
2.21979;0;0;6.216674;5;Ivy;-2.15318;-29.93934;4.640594;30.01666;0
2.21979;0;0;6.216674;6;GoldenRod;13.90078;-16.05516;5.425992;21.23676;2
2.21979;0;0;6.216674;7;Brick;16.05516;13.90079;6.996789;21.23676;1
2.238862;0;0;6.222938;0;Greystone;1.994961;29.95029;7.787471;30.01666;0
2.238862;0;0;6.222938;1;TerraCotta;29.95029;-1.994966;6.216674;30.01666;0
2.238862;0;0;6.222938;2;Violet;-13.98543;15.98149;8.572869;21.23676;4
2.238862;0;0;6.222938;3;Forest;-15.98149;-13.98542;3.86048;21.23676;4
2.238862;0;0;6.222938;4;Lake;-29.95029;1.994971;9.358267;30.01666;0
2.238862;0;0;6.222938;5;Ivy;-1.994956;-29.95029;4.645878;30.01666;0
2.238862;0;0;6.222938;6;GoldenRod;13.98542;-15.98149;5.431276;21.23676;2
2.238862;0;0;6.222938;7;Brick;15.98149;13.98542;7.002072;21.23676;1
2.267131;0;0;6.228264;0;Greystone;1.807337;29.9622;7.793734;30.01666;0
2.267131;0;0;6.228264;1;TerraCotta;29.9622;-1.807342;6.222938;30.01666;0
2.267131;0;0;6.228264;2;Violet;-14.08524;15.89359;8.579132;21.23676;4
2.267131;0;0;6.228264;3;Forest;-15.89359;-14.08524;3.866743;21.23676;4
2.267131;0;0;6.228264;4;Lake;-29.9622;1.807332;9.364531;30.01666;0
2.267131;0;0;6.228264;5;Ivy;-1.807347;-29.9622;4.652141;30.01666;0
2.267131;0;0;6.228264;6;GoldenRod;14.08524;-15.89358;5.43754;21.23676;2
2.267131;0;0;6.228264;7;Brick;15.89359;14.08524;7.008336;21.23676;1
2.286912;0;0;6.239612;0;Greystone;1.647725;29.9714;7.79906;30.01666;0
2.286912;0;0;6.239612;1;TerraCotta;29.9714;-1.64773;6.228264;30.01666;0
2.286912;0;0;6.239612;2;Violet;-14.16969;15.81834;8.584458;21.23676;4
2.286912;0;0;6.239612;3;Forest;-15.81833;-14.1697;3.87207;21.23676;4
2.286912;0;0;6.239612;4;Lake;-29.97141;1.64772;9.369857;30.01666;0
2.286912;0;0;6.239612;5;Ivy;-1.647721;-29.97141;4.657468;30.01666;0
2.286912;0;0;6.239612;6;GoldenRod;14.1697;-15.81834;5.442866;21.23676;2
2.286912;0;0;6.239612;7;Brick;15.81833;14.1697;7.013662;21.23676;1
2.306073;0;0;6.244445;0;Greystone;1.307518;29.98817;7.810408;30.01666;0
2.306073;0;0;6.244445;1;TerraCotta;29.98817;-1.307523;6.239612;30.01666;0
2.306073;0;0;6.244445;2;Violet;-14.34828;15.65653;8.595806;21.23676;4
2.306073;0;0;6.244445;3;Forest;-15.65653;-14.34828;3.883417;21.23676;4
2.306073;0;0;6.244445;4;Lake;-29.98817;1.307513;9.381205;30.01666;0
2.306073;0;0;6.244445;5;Ivy;-1.307528;-29.98817;4.668815;30.01666;0
2.306073;0;0;6.244445;6;GoldenRod;14.34828;-15.65653;5.454214;21.23676;2
2.306073;0;0;6.244445;7;Brick;15.65653;14.34828;7.02501;21.23676;1
2.32497;0;0;6.248124;0;Greystone;1.162549;29.99414;7.815242;30.01666;0
2.32497;0;0;6.248124;1;TerraCotta;29.99414;-1.162554;6.244445;30.01666;0
2.32497;0;0;6.248124;2;Violet;-14.42378;15.587;8.600639;21.23676;4
2.32497;0;0;6.248124;3;Forest;-15.58699;-14.42379;3.888251;21.23676;4
2.32497;0;0;6.248124;4;Lake;-29.99414;1.162559;9.386038;30.01666;0
2.32497;0;0;6.248124;5;Ivy;-1.162559;-29.99414;4.673649;30.01666;0
2.32497;0;0;6.248124;6;GoldenRod;14.42379;-15.58699;5.459047;21.23676;2
2.32497;0;0;6.248124;7;Brick;15.58699;14.42379;7.029843;21.23676;1
2.343743;0;0;6.251752;0;Greystone;1.052214;29.99821;7.81892;30.01666;0
2.343743;0;0;6.251752;1;TerraCotta;29.99821;-1.052218;6.248124;30.01666;0
2.343743;0;0;6.251752;2;Violet;-14.48104;15.53382;8.604319;21.23676;4
2.343743;0;0;6.251752;3;Forest;-15.53383;-14.48103;3.891929;21.23676;4
2.343743;0;0;6.251752;4;Lake;-29.99821;1.052223;9.389716;30.01666;0
2.343743;0;0;6.251752;5;Ivy;-1.052223;-29.99821;4.677327;30.01666;0
