timeStamp;roomX;roomZ;roomAngle;targetId;targetX;targetZ;targetAngle;distanceToTarget;targetAttentionCount
25.7236;24.14399;-12.3152;2.852812;1;-9.140759;-10.052;3.974433;13.58661;1
25.7236;24.14399;-12.3152;2.852812;2;29.7495;-37.23069;5.386556;47.65666;0
25.7236;24.14399;-12.3152;2.852812;3;38.29778;-8.468543;-0.2176218;39.2229;0
25.7236;24.14399;-12.3152;2.852812;4;48.40119;-27.1205;5.772448;55.4815;0
25.7236;24.14399;-12.3152;2.852812;5;28.19328;10.18892;0.3467904;29.97791;0
25.7236;24.14399;-12.3152;2.852812;6;9.572332;0.07754783;0.008101069;9.572647;11
25.7236;24.14399;-12.3152;2.852812;7;0.9869238;-28.69465;4.746769;28.71162;0
25.75086;24.17504;-12.41972;2.852812;0;11.09547;-47.44691;4.942111;48.72698;0
25.75086;24.17504;-12.41972;2.852812;1;-9.140527;-10.15961;3.979743;13.66627;1
25.75086;24.17504;-12.41972;2.852812;2;29.74949;-37.33832;5.385148;47.74078;0
25.75086;24.17504;-12.41972;2.852812;3;38.29777;-8.576175;-0.2202996;39.24627;0
25.75086;24.17504;-12.41972;2.852812;4;48.40117;-27.22815;5.770757;55.53418;0
25.75086;24.17504;-12.41972;2.852812;5;28.19331;10.08126;0.3434082;29.94151;0
25.75086;24.17504;-12.41972;2.852812;6;9.572334;-0.03056327;-0.003192864;9.572383;11
25.75086;24.17504;-12.41972;2.852812;7;0.9869251;-28.80223;4.746641;28.81914;0
25.78341;24.21213;-12.54454;2.852812;0;11.09545;-47.55593;4.941602;48.83314;0
25.78341;24.21213;-12.54454;2.852812;1;-9.14029;-10.26862;3.98506;13.74734;1
25.78341;24.21213;-12.54454;2.852812;2;29.74947;-37.44735;5.383727;47.82609;0
25.78341;24.21213;-12.54454;2.852812;3;38.29776;-8.685241;-0.2230099;39.27024;0
25.78341;24.21213;-12.54454;2.852812;4;48.40117;-27.33718;5.769047;55.58772;0
25.78341;24.21213;-12.54454;2.852812;5;28.19334;9.972176;0.3399733;29.90499;0
25.78341;24.21213;-12.54454;2.852812;6;9.572327;-0.1400844;-0.01463327;9.573352;11
25.78341;24.21213;-12.54454;2.852812;7;0.9869193;-28.91122;4.746512;28.92806;0
25.8099;24.2423;-12.64611;2.852812;0;11.09545;-47.68612;4.940998;48.95993;0
25.8099;24.2423;-12.64611;2.852812;1;-9.140017;-10.3988;3.991327;13.84467;1
25.8099;24.2423;-12.64611;2.852812;2;29.74944;-37.57757;5.382037;47.9281;0
25.8099;24.2423;-12.64611;2.852812;3;38.29774;-8.81551;-0.2262427;39.29924;0
25.8099;24.2423;-12.64611;2.852812;4;48.40116;-27.4674;5.76701;55.65187;0
25.8099;24.2423;-12.64611;2.852812;5;28.19338;9.841912;0.3358603;29.86185;0
25.8099;24.2423;-12.64611;2.852812;6;9.572302;-0.2708774;-0.02829049;9.576134;11
25.8099;24.2423;-12.64611;2.852812;7;0.9869117;-29.04137;4.746359;29.05813;0
25.83458;24.27042;-12.74075;2.852812;0;11.09543;-47.79206;4.940508;49.06312;0
25.83458;24.27042;-12.74075;2.852812;1;-9.139793;-10.50472;3.996361;13.92426;1
25.83458;24.27042;-12.74075;2.852812;2;29.74942;-37.68351;5.380667;48.0112;0
25.83458;24.27042;-12.74075;2.852812;3;38.29773;-8.921477;-0.2288689;39.32314;0
25.83458;24.27042;-12.74075;2.852812;4;48.40116;-27.57335;5.765356;55.70423;0
25.83458;24.27042;-12.74075;2.852812;5;28.19341;9.735929;0.3325053;29.82711;0
25.83458;24.27042;-12.74075;2.852812;6;9.57227;-0.3773032;-0.03939588;9.579703;11
25.83458;24.27042;-12.74075;2.852812;7;0.9869068;-29.14727;4.746235;29.16397;0
25.85861;24.29779;-12.8329;2.852812;0;11.09544;-47.89077;4.940054;49.15928;0
25.85861;24.29779;-12.8329;2.852812;1;-9.13959;-10.60343;4.001;13.99874;1
25.85861;24.29779;-12.8329;2.852812;2;29.7494;-37.78225;5.379394;48.08872;0
25.85861;24.29779;-12.8329;2.852812;3;38.29771;-9.02025;-0.2313139;39.34564;0
25.85861;24.29779;-12.8329;2.852812;4;48.40114;-27.67208;5.763817;55.75316;0
