timeStamp;roomX;roomZ;roomAngle;agentId;agentX;agentZ;agentLookX;agentLookZtargetId;targetName;targetX;targetZ;targetAngle;distanceToRoom;distanceToAgent;LookedAt;targetAttentionCount
2.538466;0;0;0.1653758;11;-0.351265;0.309906;-0.6960799;0.7179642;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;21.26643;0;2
2.538466;0;0;0.1653758;11;-0.351265;0.309906;-0.6960799;0.7179642;4;Lake;-29.60713;-4.941433;3.306968;30.01666;29.70677;0;0
2.538466;0;0;0.1653758;11;-0.351265;0.309906;-0.6960799;0.7179642;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;30.36494;0;0
2.538466;0;0;0.1653758;11;-0.351265;0.309906;-0.6960799;0.7179642;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;21.67921;0;3
2.538466;0;0;0.1653758;11;-0.351265;0.309906;-0.6960799;0.7179642;7;Brick;12.33969;17.28386;0.9507739;21.23676;21.17022;0;4
2.598519;0;0;0.1653758;0;0.8778276;2.13262;0.7163209;0.6977708;0;Greystone;-4.941432;29.60713;1.736172;30.01666;28.06738;0;0
2.598519;0;0;0.1653758;0;0.8778276;2.13262;0.7163209;0.6977708;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;28.84966;0;0
2.598519;0;0;0.1653758;0;0.8778276;2.13262;0.7163209;0.6977708;2;Violet;-17.28386;12.33969;2.52157;21.23676;20.81;0;3
2.598519;0;0;0.1653758;0;0.8778276;2.13262;0.7163209;0.6977708;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;23.4648;0;2
2.598519;0;0;0.1653758;0;0.8778276;2.13262;0.7163209;0.6977708;4;Lake;-29.60713;-4.941433;3.306968;30.01666;31.27834;0;0
2.598519;0;0;0.1653758;0;0.8778276;2.13262;0.7163209;0.6977708;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;31.98218;0;0
2.598519;0;0;0.1653758;0;0.8778276;2.13262;0.7163209;0.6977708;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;21.85363;0;3
2.598519;0;0;0.1653758;0;0.8778276;2.13262;0.7163209;0.6977708;7;Brick;12.33969;17.28386;0.9507739;21.23676;18.97473;1;4
2.598519;0;0;0.1653758;1;-1.807118;0.8312564;-0.6871346;0.7265301;0;Greystone;-4.941432;29.60713;1.736172;30.01666;28.92944;0;0
2.598519;0;0;0.1653758;1;-1.807118;0.8312564;-0.6871346;0.7265301;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;31.66534;0;0
2.598519;0;0;0.1653758;1;-1.807118;0.8312564;-0.6871346;0.7265301;2;Violet;-17.28386;12.33969;2.52157;21.23676;19.26307;1;3
2.598519;0;0;0.1653758;1;-1.807118;0.8312564;-0.6871346;0.7265301;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;20.93109;0;2
2.598519;0;0;0.1653758;1;-1.807118;0.8312564;-0.6871346;0.7265301;4;Lake;-29.60713;-4.941433;3.306968;30.01666;28.37639;0;0
2.598519;0;0;0.1653758;1;-1.807118;0.8312564;-0.6871346;0.7265301;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;31.16089;0;0
2.598519;0;0;0.1653758;1;-1.807118;0.8312564;-0.6871346;0.7265301;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;23.16997;0;3
2.598519;0;0;0.1653758;1;-1.807118;0.8312564;-0.6871346;0.7265301;7;Brick;12.33969;17.28386;0.9507739;21.23676;21.67494;0;4
2.598519;0;0;0.1653758;2;1.805442;4.17618;0.7121965;0.7019799;0;Greystone;-4.941432;29.60713;1.736172;30.01666;26.29413;0;0
2.598519;0;0;0.1653758;2;1.805442;4.17618;0.7121965;0.7019799;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;27.79572;0;0
2.598519;0;0;0.1653758;2;1.805442;4.17618;0.7121965;0.7019799;2;Violet;-17.28386;12.33969;2.52157;21.23676;20.73861;0;3
2.598519;0;0;0.1653758;2;1.805442;4.17618;0.7121965;0.7019799;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;25.67896;0;2
2.598519;0;0;0.1653758;2;1.805442;4.17618;0.7121965;0.7019799;4;Lake;-29.60713;-4.941433;3.306968;30.01666;32.69248;0;0
2.598519;0;0;0.1653758;2;1.805442;4.17618;0.7121965;0.7019799;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;33.91193;0;0
2.598519;0;0;0.1653758;2;1.805442;4.17618;0.7121965;0.7019799;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;22.61218;0;3
2.598519;0;0;0.1653758;2;1.805442;4.17618;0.7121965;0.7019799;7;Brick;12.33969;17.28386;0.9507739;21.23676;16.7926;1;4
2.598519;0;0;0.1653758;3;0.1792064;-2.034644;-0.7426567;-0.6696721;0;Greystone;-4.941432;29.60713;1.736172;30.01666;32.03678;0;0
2.598519;0;0;0.1653758;3;0.1792064;-2.034644;-0.7426567;-0.6696721;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;30.22686;0;0
2.598519;0;0;0.1653758;3;0.1792064;-2.034644;-0.7426567;-0.6696721;2;Violet;-17.28386;12.33969;2.52157;21.23676;22.59464;0;3
2.598519;0;0;0.1653758;3;0.1792064;-2.034644;-0.7426567;-0.6696721;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;19.70621;1;2
2.598519;0;0;0.1653758;3;0.1792064;-2.034644;-0.7426567;-0.6696721;4;Lake;-29.60713;-4.941433;3.306968;30.01666;29.91121;0;0
2.598519;0;0;0.1653758;3;0.1792064;-2.034644;-0.7426567;-0.6696721;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;27.96407;0;0
2.598519;0;0;0.1653758;3;0.1792064;-2.034644;-0.7426567;-0.6696721;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;19.94558;0;3
2.598519;0;0;0.1653758;3;0.1792064;-2.034644;-0.7426567;-0.6696721;7;Brick;12.33969;17.28386;0.9507739;21.23676;22.80371;0;4
2.598519;0;0;0.1653758;4;-0.3352127;3.770398;0.7805585;0.6250826;0;Greystone;-4.941432;29.60713;1.736172;30.01666;26.22746;0;0
2.598519;0;0;0.1653758;4;-0.3352127;3.770398;0.7805585;0.6250826;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;29.94871;0;0
2.598519;0;0;0.1653758;4;-0.3352127;3.770398;0.7805585;0.6250826;2;Violet;-17.28386;12.33969;2.52157;21.23676;18.96855;0;3
2.598519;0;0;0.1653758;4;-0.3352127;3.770398;0.7805585;0.6250826;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;24.21269;0;2
2.598519;0;0;0.1653758;4;-0.3352127;3.770398;0.7805585;0.6250826;4;Lake;-29.60713;-4.941433;3.306968;30.01666;30.52428;0;0
2.598519;0;0;0.1653758;4;-0.3352127;3.770398;0.7805585;0.6250826;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;33.77539;0;0
2.598519;0;0;0.1653758;4;-0.3352127;3.770398;0.7805585;0.6250826;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;23.8506;0;3
2.598519;0;0;0.1653758;4;-0.3352127;3.770398;0.7805585;0.6250826;7;Brick;12.33969;17.28386;0.9507739;21.23676;18.50412;1;4
2.598519;0;0;0.1653758;5;2.670042;-0.652143;0.7028442;-0.7113436;0;Greystone;-4.941432;29.60713;1.736172;30.01666;31.18529;0;0
2.598519;0;0;0.1653758;5;2.670042;-0.652143;0.7028442;-0.7113436;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;27.49508;0;0
2.598519;0;0;0.1653758;5;2.670042;-0.652143;0.7028442;-0.7113436;2;Violet;-17.28386;12.33969;2.52157;21.23676;23.7871;0;3
2.598519;0;0;0.1653758;5;2.670042;-0.652143;0.7028442;-0.7113436;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;22.37986;0;2
2.598519;0;0;0.1653758;5;2.670042;-0.652143;0.7028442;-0.7113436;4;Lake;-29.60713;-4.941433;3.306968;30.01666;32.54428;0;0
2.598519;0;0;0.1653758;5;2.670042;-0.652143;0.7028442;-0.7113436;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;29.02735;0;0
2.598519;0;0;0.1653758;5;2.670042;-0.652143;0.7028442;-0.7113436;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;18.68911;1;3
2.598519;0;0;0.1653758;5;2.670042;-0.652143;0.7028442;-0.7113436;7;Brick;12.33969;17.28386;0.9507739;21.23676;20.35315;0;4
2.598519;0;0;0.1653758;6;3.159612;1.443177;0.6343746;0.7730257;0;Greystone;-4.941432;29.60713;1.736172;30.01666;29.28934;0;0
2.598519;0;0;0.1653758;6;3.159612;1.443177;0.6343746;0.7730257;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;26.66123;0;0
2.598519;0;0;0.1653758;6;3.159612;1.443177;0.6343746;0.7730257;2;Violet;-17.28386;12.33969;2.52157;21.23676;23.14278;0;3
2.598519;0;0;0.1653758;6;3.159612;1.443177;0.6343746;0.7730257;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;24.28557;0;2
2.598519;0;0;0.1653758;6;3.159612;1.443177;0.6343746;0.7730257;4;Lake;-29.60713;-4.941433;3.306968;30.01666;33.36632;0;0
2.598519;0;0;0.1653758;6;3.159612;1.443177;0.6343746;0.7730257;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;31.08483;0;0
