timeStamp;roomX;roomZ;roomAngle;targetId;targetName;targetX;targetZ;targetAngle;distanceToTarget;targetAttentionCount
2.608841;-0.001413717;0.8099995;6.28144;2;Violet;-14.98793;14.31408;8.662373;20.72513;6
2.608841;-0.001413717;0.8099995;6.28144;3;Forest;-15.03904;-15.71283;3.948898;21.75007;3
2.608841;-0.001413717;0.8099995;6.28144;4;Lake;-30.01344;-0.6734943;3.164029;30.021;0
2.608841;-0.001413717;0.8099995;6.28144;5;Ivy;-0.05238509;-30.73871;4.710685;30.73876;0
2.608841;-0.001413717;0.8099995;6.28144;6;GoldenRod;14.98662;-15.76524;5.472473;21.75182;2
2.608841;-0.001413717;0.8099995;6.28144;7;Brick;15.04034;14.26166;7.042016;20.72696;3
2.628117;-0.00154365;0.8844456;6.28144;0;Greystone;0.05239173;29.20382;7.852188;29.20387;0
2.628117;-0.00154365;0.8844456;6.28144;1;TerraCotta;30.01344;-0.8627877;6.254447;30.02584;0
2.628117;-0.00154365;0.8844456;6.28144;2;Violet;-14.988;14.22966;8.665329;20.66697;6
2.628117;-0.00154365;0.8844456;6.28144;3;Forest;-15.03897;-15.79725;3.951576;21.81109;3
2.628117;-0.00154365;0.8844456;6.28144;4;Lake;-30.01344;-0.7579374;3.166841;30.02301;0
2.628117;-0.00154365;0.8844456;6.28144;5;Ivy;-0.05238192;-30.8231;4.71069;30.82314;0
2.628117;-0.00154365;0.8844456;6.28144;6;GoldenRod;14.98656;-15.84965;5.469805;21.81303;1
2.628117;-0.00154365;0.8844456;6.28144;7;Brick;15.04042;14.17724;7.039049;20.66902;4
2.646776;-0.001670267;0.9569917;6.28144;0;Greystone;0.05238324;29.12941;7.852183;29.12946;0
2.646776;-0.001670267;0.9569917;6.28144;1;TerraCotta;30.01344;-0.937203;6.251969;30.02806;0
2.646776;-0.001670267;0.9569917;6.28144;2;Violet;-14.98808;14.1552;8.667951;20.61583;6
2.646776;-0.001670267;0.9569917;6.28144;3;Forest;-15.0389;-15.87169;3.953926;21.86502;3
2.646776;-0.001670267;0.9569917;6.28144;4;Lake;-30.01344;-0.8324525;3.169322;30.02498;0
2.646776;-0.001670267;0.9569917;6.28144;5;Ivy;-0.05239052;-30.89751;4.710693;30.89755;0
2.646776;-0.001670267;0.9569917;6.28144;6;GoldenRod;14.98649;-15.9241;5.467463;21.86714;1
2.646776;-0.001670267;0.9569917;6.28144;7;Brick;15.04049;14.10279;7.036419;20.61807;4
2.676004;-0.001870289;1.071595;6.28144;0;Greystone;0.0523914;29.0569;7.852179;29.05695;0
2.676004;-0.001870289;1.071595;6.28144;1;TerraCotta;30.01343;-1.009824;6.249552;30.03042;0
2.676004;-0.001870289;1.071595;6.28144;2;Violet;-14.98815;14.08265;8.670518;20.56613;6
2.676004;-0.001870289;1.071595;6.28144;3;Forest;-15.03884;-15.94423;3.956205;21.91769;3
2.676004;-0.001870289;1.071595;6.28144;4;Lake;-30.01344;-0.9050584;3.171739;30.02708;0
2.676004;-0.001870289;1.071595;6.28144;5;Ivy;-0.05238057;-30.97002;4.710698;30.97007;0
2.676004;-0.001870289;1.071595;6.28144;6;GoldenRod;14.98643;-15.99663;5.465194;21.91998;1
2.676004;-0.001870289;1.071595;6.28144;7;Brick;15.04056;14.03024;7.033844;20.56857;4
2.695441;-0.002005978;1.14934;6.28144;0;Greystone;0.05239188;28.94235;7.852171;28.9424;0
